"sppid";"Name";"Family";"CommonName";"Name";"Native/Invasive";"nemba";"EDRR target species (www.CTinvasives.co.za)";"Diagnostics";"Peninsula Notes"
264;"Capsella bursa-pastoris ";"BRAS";"Shepherds Purse";"Capsella bursa-pastoris ";"Invasive";"not listed";"not listed";"Annual-biennial, erect; very variable; branched from base, basal leaf rosette; flowers 4-cross, white; pod inverted, notched triangle";"Roadsides and waste areas; occasional "
265;"Cardamine hirsuta ";"BRAS";"Hairy Bittercress";"Cardamine hirsuta ";"Invasive";"not listed";"not listed";"Annual, hairy below, hairless above; leaf 3-7 pairs of pinnae; flowers 4-cross, minute; pods long, erect";"Damp areas, roadsides and cultivated areas; rare; Mowbray to Claremont"
12;"Cardiospermum grandiflorum";"SAPI";"Balloon Vine";"Cardiospermum grandiflorum";"Invasive";"1b";"listed";"Perenniel, with tendrils, potentially huge, draping; leaf bright green hairy; flowers many in compact heads, 7-11mm long, fragrant, pale; fruit inflated capsules, pointed; seed black, round with oblong white spot";"Not recorded on Peninsula"
266;"Carduus pycnocephalus ";"ASTE";"Corsican Thistle";"Carduus pycnocephalus ";"Invasive";"not listed";"not listed";"Annual; sharply spiny; flowerheads 20-40mm, usually solitary, rayless; bracts hairless with yellow spines; pappus not forming a clock";"Waste areas; frequent; northern areas "
267;"Carthamus lanatus ";"ASTE";"Distaff Thistle";"Carthamus lanatus ";"Invasive";"not listed";"not listed";"Annual; erect; leaves lobed below, upper linear, spiny, downy; Flowerheads rayless, yellow, solitary; flowers sticky haired; bracts leaflike, spiny";"Very rare; between Clifton and Sea point"
269;"Castanea dentata ";"FAGA";"American Chestnut";"Castanea dentata ";"Invasive";"not listed";"not listed";"Leaf with larger serrations; fruit spiny husk, bearing 3 nuts";"Not recorded in 1950; in USA now devastated by Blight"
268;"Castanea sativa";"FAGA";"Sweet Chestnut";"Castanea sativa";"Invasive";"not listed";"not listed";"Leaves large, ovate, serrate; fruit spiny husk, bearing 2 nuts";"Planted Newlands and Kirstenbosch"
270;"Casuarina cunninghamiana ";"CASA";"Beefwood";"Casuarina cunninghamiana ";"Invasive";"1b";"not listed";"""Leaves"" are branches (actual leaves scales, blackish, in rings), round ribbed; sexes separate plants   ";"Not recorded in 1950"
271;"Casuarina equisetifolia ";"CASA";"Horsetail Tree";"Casuarina equisetifolia ";"Invasive";2;"not listed";"""Leaves"" are branches (actual leaves scales, pale, in ring), sharply ribbed; both sexes on same plants   ";"Not recorded in 1950"
272;"Catapodium rigidum ";"POAC";"Fern Grass";"Catapodium rigidum ";"Invasive";"not listed";"not listed";"Spikelets one sided; awnless";"Disturbed areas and rock crevices, in moist, shady areas; infrequent to locally common"
273;"Catharanthus roseus";"APOC";"Madagascar Periwinkle";"Catharanthus roseus";"Invasive";"1b";"not listed";"Perennial, erect; leaves bright green, glossy; flowers solitary or paired, pink or white, 5 joined petals; fruit resembling flower buds, green";"Not recorded in 1950"
274;"Cedronella canariensis ";"LAMI";"Herb of Gilead";"Cedronella canariensis ";"Invasive";;"not listed";"Perennial, erect, strongly aromatic, nearly hairless; leaf trifoliate; flowerheads terminal, dense; flowers short, tubular, 2-lipped, white or pink, hairy";"Lowers eastern slopes of Table Mountain and Devils Peak; rather frequent; was Dracocephalum canariense"
275;"Celtis sinensis ";"CELT";"Chinese Hackberry";"Celtis sinensis ";"Invasive";;"not listed";"Leaves bright to dark green, glossy above; fruit dark orange, 6mm, on short, stout stalks; bark smooth (NB: C. africana - yellow/brown, 4mm, on long, thin stalks)";"Not recorded in 1950; capable of hybridizing with Celtis africana"
17;"Cenchrus incertus";"POAC";"Mat Sandbur";"Cenchrus incertus";"Invasive";;"not listed";"Annual tufted grass; burrs rounded, with clefts on two sides, spines variable, outermost spreading in all directions";"Not recorded in 1950, mapped by Bromilow; was C. pauciflorus"
276;"Centaurea calcitrapa ";"ASTE";"Red Starbur";"Centaurea calcitrapa ";"Invasive";;"not listed";"Perennial; stem stiff, downy; leaves almost hairless; flowerheads rayless, purple, solitary; bracts with long yellow spine; pappus not forming a clock";"Waste areas; rare; Green Point to Claremont"
44;"Centaurea cyanus";"ASTE";"Blue Cornflower";"Centaurea cyanus";"Invasive";;"not listed";"Annual; erect; leaves lobed below, upper linear, grey downy; flowerheads solitary; bracts with white scales and scaly margins; no ray florets; disc ""rays"" triangular, 3-5 large teeth, blue";"Waste areas and wheatfields"
277;"Centaurea melitensis ";"ASTE";"Malta Cornflower";"Centaurea melitensis ";"Invasive";;"not listed";"Annual; erect; leaves lobed below, upper linear, downy, resin dotted; flowerheads rayless, yellow, solitary; flowers sticky haired; bracts pinnate, spine tipped";"Waste areas; occasional; Maitland to Constantia and Hout Bay"
278;"Centranthus ruber ";"VALE";"Red Valerian";"Centranthus ruber ";"Invasive";"emerging";"listed";"Perennial; leaves pointed; upper strongly toothed at base; flowers five fused petals, red (or pink or white), fragrant, in rounded clusters ";"Disturbed areas, common from Signal Hill to Tokai; not recorded in 1950"
179;"Cereus jamacaru ";"CACT";"Queen of the Night";"Cereus jamacaru ";"Invasive";;"not listed";"Tree cactus, with erect stems from a short woody trunk; branches with about 6 ribs, green to blue-green; leaves spines in clusters of 5-10; flowers pink or red";"Not recorded in 1950; ornamental hedging"
280;"Cestrum aurantiacum";"SOLA";"Yellow Cestrum";"Cestrum aurantiacum";"Invasive";;"not listed";"Leaves with unpleasant peanut buttery smell; flowers orange yellow tubes; fruit small spongy berries ";"Not recorded in 1950"
281;"Cestrum laevigatum ";"SOLA";"Inkberry Cestrum";"Cestrum laevigatum ";"Invasive";;"not listed";"Leaves with unpleasant peanut buttery smell; flowers greenish yellow tubes; berries green turning purple black - sought after by birds";"Not recorded in 1950"
623;"Chamaecytisus prolifer var. palmensis";"FABA";"Tree Lucerne";"Chamaecytisus prolifer var. palmensis";"Invasive";;"not listed";"Tree, evergreen, unarmed; leaves softly-hairy, dull, trifoliate, margins smooth; flowers cream to white; seed pods hairy, flat, oval, turning black.";"Tokai"
283;"Chamaesyce maculata ";"EUPH";"Spotted Spurge";"Chamaesyce maculata ";"Invasive";;"not listed";"Annual, mat forming, to 300mm diam.; stems and leaf red or purplish, hairy; stipule interpetiolate";"Garden paths and cultivated land; frequent; was Euphorbia chamaesyce"
284;"Chenopodium album ";"CHEN";"Wild Goosefoot";"Chenopodium album ";"Invasive";;"not listed";"Annual, erect; taproots stout; stems green and red tinged; leaves variable simple to 3 lobed; seeds many, shiny black";"Cultivated and disturbed areas common "
285;"Chenopodium ambrosioides ";"CHEN";"Wormseed Goosefoot";"Chenopodium ambrosioides ";"Invasive";;"not listed";"Annual, much branched, aromatic, with glandular and simple hairs; leaf green or purple, flowerheads axillary, much branched, in axils of small leaves; petals yellow green";"Disturbed or cultivated areas, especially where moist or near sea, occ. In natural veld; frequent"
286;"Chenopodium botryodes ";"CHEN";"Small Red Goosefoot";"Chenopodium botryodes ";"Invasive";;"not listed";"Annual, hairless, variable, spreading; leaves thick; flowers persisting, petals thick, united in lower part, hairless; sepals not joined ";"Local at edges of vleis; abundant at Princessvlei, occasional at Rondevlei, Kommetjie and Milnerton"
287;"Chenopodium carinatum ";"CHEN";"Green Goosefoot";"Chenopodium carinatum ";"Invasive";;"not listed";"Annual, robust; stout taproot; leaf aromatic, to 30mm long, long stalk, glandular hairs; stipule leafy";"Not recorded in 1950"
180;"Chenopodium giganteum ";"CHEN";"Tree Spinach";"Chenopodium giganteum ";"Invasive";;"not listed";"Annual, stem erect, green with yellow or red stripes; leaf mealy when young, lower orange-red, middle blue-green, upper purple-pink; flowerhead terminal,  many horizontal branches; flowers pale, in small lax groups; petals with a  basal tube, tips free";"Roadsides and cultivated or waste ground in suburban areas; frequent"
288;"Chenopodium glaucum ";"CHEN";"Oakleaf Goosefoot";"Chenopodium glaucum ";"Invasive";;"not listed";"Annual, erect; leaf ovate-triangular, often red; flowers thickly mealy, in dense axillary clusters; outer flowers often without stamens";"Disturbed areas; rare; Sea Point to Claremont"
289;"Chenopodium multifidum ";"CHEN";"Stinking Goosefoot";"Chenopodium multifidum ";"Invasive";;"not listed";"Perennial, prostrate; roots deeply branched; leaf green to yellow or purple; flowerhead axillary, spreading at right angles; flowers crowded, petals united, forming a loose, bladder envelope to the fruit";"Waste and disturbed areas; very common"
290;"Chenopodium murale var. murale";"CHEN";"Nettleleaf Goosefoot";"Chenopodium murale var. murale";"Invasive";;"not listed";"Annual, erect; taproots stout; leaves variable usually without basal lobes; flowerhead leafy; flowers mealy; seeds many, shiny black";"Roadsides, waste areas and open places; very common"
292;"Chenopodium polyspermum ";"CHEN";"Manyseeded Goosefoot";"Chenopodium polyspermum ";"Invasive";;"not listed";"Annual, mealy (or not mealy A&S); stems square often reddish; leaves oval, untoothed, often red, hairy (hairless A&S); petals fused at base, midrib not thickened.";"Disturbed areas, rare; Groote Schuur to Kirstenbosch"
293;"Chinchonia pubescens ";"RUBI";"Quinine Tree";"Chinchonia pubescens ";"Invasive";;"not listed";"Bark turns red when cut; leaves thin, red when aged, prominent veined; stipules ovate; flowers in large heads, pink, fragrant";"Not recorded in 1950"
120;"Chrysanthemum carinatum ";"ASTE";"Marigold";"Chrysanthemum carinatum ";"Invasive";;"not listed";"Annual; erect; leaves deeply divided; fruits of ray florets broad, 3-winged";"Waste areas; occasional; from Sea Point to Muizenberg"
121;"Chrysanthemum segetum ";"ASTE";"Corn Chrysanthemum";"Chrysanthemum segetum ";"Invasive";;"not listed";"Annual; erect, simple or branched; taproots stout; leaves toothed to somewhat lobed; fruits of rays narrow, 2-winged";"Waste areas; rare; Claremont"
43;"Cichorium intybus subsp. intibus";"ASTE";"Chicory";"Cichorium intybus subsp. intibus";"Invasive";;"not listed";"Perennial; taproot large; stem tough, grooved, hairy, to 1m tall, spindly branched, milky sap; leaf stalked; flowerheads 20-40mm wide; bracts 2 rows; , rays bright blue, disc florets absent; achene with toothed scales";"Disturbed and waste areas, road verges; edible and used for ""coffee"""
32;"Ciclospermum leptophyllum";"APIA";"Fir-leaf Celery";"Ciclospermum leptophyllum";"Invasive";;"not listed";"taproot; leaf threadlike; flowerheads umbels of round flowers";"Damp places; was Apium"
297;"Cinnamomum camphora ";"LAUR";"Camphor Tree";"Cinnamomum camphora ";"Invasive";;"not listed";"Leaves and bark with camphor smell when crushed";"Widely planted; naturalised in wetlands at Tokai; locally common; not recorded in 1950 - despite plantings"
298;"Cirsium vulgare ";"ASTE";"Scotch Thistle";"Cirsium vulgare ";"Invasive";;"not listed";"Biennial; stems with wings; sharply spiny; leaves downy; flowerheads 20-40mm, usually solitary, rayless; bracts hairless with yellow spines; pappus not forming a clock";"Not recorded in 1950"
118;"Cissus antarctica";"VITA";"Kangaroo Vine";"Cissus antarctica";"Invasive";;"not listed";"Woody climber; new growth with rusty hairs, aging hairless; leaf 40-120mm long, with prominent raised domatia in vein axils, rusty-haired below, opposite tendril; tendril simple or 2-branched; flowerheads dense, yellow; fruit globose, 15 mm, purple";"From SAPIA 2010;"
299;"Cistus ladanifer ";"CIST";"Gum Rockrose";"Cistus ladanifer ";"Invasive";;"not listed";"Herbaceous shrub; very sticky, aromatic resin; leaves lanceolate, sessile; flowers solitary; petals white, often purple at base";"Bushy slopes above Kirstenbosch; local"
300;"Clematis recta ";"RANU";"Erect Clematis";"Clematis recta ";"Invasive";;"not listed";"Erect to sprawling shrub; flowers 4 greenish petals and lots of stamens; seeds with hairy plumes";"Not recorded in 1950"
96;"Colocasia esculenta";"ARAC";"Taro";"Colocasia esculenta";"Invasive";;"not listed";"Edible tubers; leaf  elephant-ear shape, to 600mm long; flowerhead a spathe, inconspicuous;";"From SAPIA 2010; Constantia, Lourens River; also Elephants Ear"
303;"Convolvulus arvensis ";"CONV";"Field Bindweed";"Convolvulus arvensis ";"Invasive";;"not listed";"Herbaceous, leaf blade with arrow base, stalk long; flowers with 5 pleats, petals 4-5 times longer than sepals; bracts small";"Roadsides and cultivated land; occasional"
304;"Conyza albida";"ASTE";"Tall Fleabane";"Conyza albida";"Invasive";;"not listed";"Annual, erect, usually single-stemmed; leaf grey green, narrow, finely hairy; flowers in branched heads, bracts hairy but no long apical hairs ";"Not recorded in 1950; was C. sumatrensis var. sumatrensis"
305;"Conyza bonariensis ";"ASTE";"Flaxleaf Fleabane";"Conyza bonariensis ";"Invasive";;"not listed";"Annual; subwoody, lateral branches overtopping main branch; flowerheads +10mm across, bracts hairy with tuft of hairs at tip; pappus pink or grey";"Waste areas; common; was C. ambigua"
306;"Conyza canadensis ";"ASTE";"Horseweed Fleabane";"Conyza canadensis ";"Invasive";;"not listed";"Annual; subwoody, unbranched; flowerheads small in loose branched spikes, rays white or mauve, discs yellow, bracts with brown inner surface; pappus cream ";"Waste areas; occasional"
97;"Coprosma repens";"RUBI";"Shiney Leaf";"Coprosma repens";"Invasive";;"not listed";"Rounded bush; leaf oblong, dark green (some variegated forms), glossy, slightly succulent; flowers insignificant; fruit a juicy berry";"From SAPIA 2010"
78;"Coreopsis lanceolata";"ASTE";"Tickseed";"Coreopsis lanceolata";"Invasive";;"not listed";"Perenniel herb offsetting from rhizome; stems ridged, sparsely branched; leavers mostly in a basal tuft, lower with lateral lobes, upper entire, slightly hairy to hairless; flowerheads showy, on long stalks, bright yellow, eight ray florets with 2-3 teeth";"From SAPIA 2010; roadsides"
308;"Coronopus didymus ";"BRAS";"Carrot Weed";"Coronopus didymus ";"Invasive";;"not listed";"Annual, stems prostrate, semi-erect, pungent smell; leaf feathery; flowers white, 4-cross or without petals, pods 2-lobed, notched ";"Cultivated and waste areas, frequent; veld on Cape Flats, occasional"
309;"Cortaderia jubata ";"POAC";"Jubata Grass";"Cortaderia jubata ";"Invasive";;"not listed";"Dense, large, tussock grass; leaf tip not bristled, margin rough, cutting; panicle loosely branching, feathery; old heads persistent, dark";"Disturbed areas, infrequent"
310;"Cortaderia selloana ";"POAC";"Pampas Grass";"Cortaderia selloana ";"Invasive";"1b";"listed";"Dense, large, tussock grass; leaf tip  bristled, margin rough, cutting; panicle stiffly branching, feathery; old heads persistent, light";"Seasonal wetlands; common"
311;"Corymbia ficifolia";"MYRT";"Red Blood Gum";"Corymbia ficifolia";"Invasive";;"not listed";"Round basal bole; bark scaly, fibrous, grey; flowers scarlet, large; fruit urn-shaped, 30mm long, stalked, valves enclosed";"Planted as roadside and avenue trees, spreading slowly at Tokai; not recorded in 1950"
312;"Cotoneaster  franchetii ";"ROSA";"Orangeleaf Cotoneaster";"Cotoneaster  franchetii ";"Invasive";;"not listed";"Leaves grey green, shiny above, 20-35mm long, 1-3mm petiole; petals red; fruit showy, orange-red, 3 nutlets";"Not recorded in 1950"
313;"Cotoneaster  lacteus ";"ROSA";"Bigleaf Cotoneaster";"Cotoneaster  lacteus ";"Invasive";;"not listed";"Leaves dark dull green above, densely hairy below, 25-76mm long, prominent side veins, 2-7mm petiole; fruit showy, red, 2 nutlets";"Not recorded in 1950"
314;"Cotoneaster pannosus ";"ROSA";"Silverleaf Cotoneaster";"Cotoneaster pannosus ";"Invasive";;"not listed";"Leaves dark dull green above, densely hairy below, 10-30mm long, 2-7mm petiole; fruit showy, dull crimson, 2 nutlets";"Not recorded in 1950"
56;"Crataegus pubescens";"ROSA";"Mexican Hawthorn";"Crataegus pubescens";"Invasive";;"not listed";"Tree to 10m, crown dense; thorns infrequent; leaf semi-evergreen, 40-80mm long; fruit globose  pome 20mm across";"Not recorded in 1950; was C. mexicana"
45;"Crotalaria agatiflora";"FABA";"Canarybird Bush";"Crotalaria agatiflora";"Invasive";;"not listed";"Shrub to creeper, to 10m tall; hairless-hairy; stipules linear or absent; leaf 3-foliate; racemes to 400mm, many flowered; petals greenish yellow; pod 700-1000mm long, hairless, rattling when dry";"Not recorded on Peninsula; garden thug, disturbed areas; there are 5 subspecies;"
317;"Cryptomeria japonica ";"CUPR";"Japanese Cedar";"Cryptomeria japonica ";"Invasive";;"not listed";"Leaf long pointed scales, base with keel running down shoot; cone 20mm oval, with spines on scales, stalked";"Not recorded in 1950"
64;"Cupressus macrocarpa";"CUPR";"Monterey Cypress";"Cupressus macrocarpa";"Invasive";;"not listed";"Columnar as young tree, hugely spreading when old; leaves very small and adpressed on dense shoots, fragrant of lemon; cones small, 10-40mm , 7-8 large scales with a curved boss and finely-waved margins, purple brown";"Commonly planted"
318;"Cuscuta campestris ";"CONV";"Golden Dodder";"Cuscuta campestris ";"Invasive";;"not listed";"Parasitic herb; yellow stems without leaves";"Not recorded in 1950"
98;"Cydonia oblonga";"ROSA";"Quince";"Cydonia oblonga";"Invasive";;"not listed";"Deciduous tree; leaf densely white hairy, veins prominent, infolded; fruit pear-shaped, yellow, hairy when young";"From SAPIA 2010"
322;"Cynosurus echinatus ";"POAC";"Bristly Dogstail";"Cynosurus echinatus ";"Invasive";;"not listed";"Leaf blades flat, thin, rounded at base; Panicle spike-like, bristly, dense, one sided";"Rocky, well drained soils and disturbed areas, often in shade; infrequent; abundant at Newlands, occasional from Rondebosch to Newlands"
324;"Cytisus monspessulanus ";"FABA";"French Broom";"Cytisus monspessulanus ";"Invasive";"1a";"listed";"Branches leafy; leaf trifoliate; flowers yellow, terminal; pods with silky hairs";"Woods and shady places; local; Newlands, Orangekloof, Constantia, Tokai; was Genista monspessulana, was Genista candicans"
325;"Dactylis glomerata ";"POAC";"Cocksfoot";"Dactylis glomerata ";"Invasive";;"not listed";"Spikelets compressed, keeled";"Disturbed areas, esp. roadsides and damp sheltered areas; infrequent; Rondebosch to Wynberg and reservoirs on mountains"
326;"Datura ferox";"SOLA";"Large Thorn Apple";"Datura ferox";"Invasive";;"not listed";"Summer annual; leaves unpleasant odour if crushed; fruit a brown capsule, erect,  with 30mm spines, filled with small black seeds";"Not recorded in 1950"
327;"Datura stramonium ";"SOLA";"Common Thorn Apple";"Datura stramonium ";"Invasive";;"not listed";"Summer annual; leaves unpleasant odour if crushed; fruit a brown capsule, erect,  with slender 10mm spines, filled with small black seeds";"Disturbed areas and roadsides; frequent"
328;"Daucus carota ";"APIA";"Carrot";"Daucus carota ";"Invasive";;"not listed";"Biennial; flowers in umbels, petals unequal; lower bracts 3-forked";"Not recorded in 1950"
329;"Dianella  tasmanica ";"HEME";"Tasman Flax Lily";"Dianella  tasmanica ";"Invasive";;"not listed";"Perennial, tufted; rhizome; leaf green, linear, keeled, margin finely toothed, to 1m long; flowerhead a long spray of drooping flower clusters; flowers small, blue, stamens yellow, filaments swollen; berries oval, violet";"Not recorded in 1950"
330;"Digitaria sanguinalis ";"POAC";"Crab Fingergrass";"Digitaria sanguinalis ";"Invasive";;"not listed";"Lower nodes knee-bent; spikelets in pairs - one with stalk";"Disturbed areas, especially sands; locally dominant; Cape Flats"
331;"Diplotaxis muralis ";"BRAS";"Sand Rocket";"Diplotaxis muralis ";"Invasive";;"not listed";"Biennial; stems much branched, leafless, hairy at  base; leaves hairless or almost so; flowers 4-cross, yellow; pods long, longer than stalk";"Roadsides; occasional"
332;"Dittrichia graveolens ";"ASTE";"Cape Khakiweed";"Dittrichia graveolens ";"Invasive";;"not listed";"Perennial; sticky haired; foetid odour; flowerheads small, dull yellow, rayless, bracts purple, in umbel";"Apparently spreading in the 1950s; Maitland to Bishopscourt "
3;"Duranta erecta";"VERB";"Forget-me-not Tree";"Duranta erecta";"Invasive";;"not listed";"Multistemmed shrub or tree, occ. with spines in leaf axils; branch occ. 4-angled;  leaf dark green, ovate to obovate, entire-coarsely toothed; flowers lilac, blue to white, recurved spikes, fragrant; fruit orange-yellow, glossy, 5-10mm diam., beaked";"Naturalized but not spreading much, moist sites; berries poisonous to humans"
4;"Echinopsis spachiana";"CACT";"Torch Cactus";"Echinopsis spachiana";"Invasive";;"not listed";"Tall, columnar cactus, multistemmed, spines numerous in clusters of 8-10, amber, with central spine longest; floral tube with long hairs, petals white";"Not recorded in 1950, mapped by Bromilow; ornamental hedging"
335;"Echium candicans ";"BORA";"Pride of Madeira";"Echium candicans ";"Invasive";;"not listed";"Perennial, branching;  leaf persistent, lanceolate, white hairy, shortening up stem; flowerheads long, dense; flowers blue with white lines (or white), stamens exserted; ";"Not recorded in 1950; flats at Fish Hoek"
336;"Echium plantagineum ";"BORA";"Pattersons Curse";"Echium plantagineum ";"Invasive";;"not listed";"Perennial, rough white hairs with bulbous bases; leaf with prominent side veins, young plants with basal rosette of broad leaves; flowers red-purple aging blue-purple, in laxly branched, one-sided spike;  2 stamens protruding";"Waste areas on the flats; frequent; Rondebosch to Retreat"
337;"Echium vulgare";"BORA";"Blue Echium";"Echium vulgare";"Invasive";;"not listed";"Perennial, rough white hairs with bulbous bases; leaf with without prominent side veins, basal leaves narrow; flowers red-purple aging blue-purple, a dense spike;  4-5 stamens protruding";"Not recorded in 1950"
79;"Egeria densa";"HYDR";"Dense Waterweed";"Egeria densa";"Invasive";;"not listed";"Submerged aquatic; leaf green, finely serrated, 15-30mm long, in whorls of mostly 4-5; flowers 15mm diam., long-stalked, held 20mm above surface";"From SAPIA 2010; slow-flowing waterways"
338;"Eichhornia crassipes ";"PONT";"Water Hyacinth";"Eichhornia crassipes ";"Invasive";;"not listed";"Floating, leaf stalks a bladder, large purple flowers";"Vleis, pools and open rivers on Cape Flats; common to abundant unless controlled"
94;"Erigeron karvinskianus";"ASTE";"Daisy Fleabane";"Erigeron karvinskianus";"Invasive";;"not listed";"Annual to perenniel, erect to sprawling; leaf lanceolate three lobed at base, simple above; hairless to slightly hairy, with a fringe, grey green; heads few, stalks long, involucral bracts linear, hairy, in 2-3 series; rays white or pink";"Common garden plant; recorded on summit on Table Mountain; was Erigeron mucronatus"
346;"Eriobotrya japonica ";"ROSA";"Loquat";"Eriobotrya japonica ";"Invasive";;"not listed";"Leaves stiff, leathery, dark green and glossy above, rusty hairs below; fruit orange-yellow, fleshy with large nuts";"Not recorded in 1950"
348;"Erodium cicutarium ";"GERA";"Common Storksbill";"Erodium cicutarium ";"Invasive";;"not listed";"Annual, with spreading hairs, often strong smelling; leaf with deep, toothed lobes, stipule lanceolate; flowers in umbel heads of 3-8 flowers, petals dropping; fruit long, twisted";"Rare; Camps Bay"
351;"Erucastrum gallicum ";"BRAS";"Hairy Rocket";"Erucastrum gallicum ";"Invasive";;"not listed";"Annual, short, densely hairy; leaf lower stalked, upper not;  flowers 4-cross, pale yellow, sepals erect; pods beaded, less than 40mm long";"Not recorded in 1950"
352;"Eucalyptus botryoides ";"MYRT";"Bangalay Gum";"Eucalyptus botryoides ";"Invasive";;"not listed";"Bark fibrous to flaky, brown; flowers white in groups of 7-11; young plants with rounded bole; disc depressed, valves enclosed or rim-level";"Locally dense, along canal at Tokai, serious invader; Outstanding ability to withstand flooding and waterlogged soils; Not recorded in 1950"
353;"Eucalyptus camaldulensis ";"MYRT";"Red River Gum";"Eucalyptus camaldulensis ";"Invasive";;"not listed";"Bark smooth, mottled, grey; leaves stalked, pendulous; fruit in stalked clusters of 5-10, rim domed, valves deltoid prominent ";"Riverine invader; not recorded in 1950; Diep, Disa, Lourens Rivers"
72;"Eucalyptus cladocalyx";"MYRT";"Sugar Gum";"Eucalyptus cladocalyx";"Invasive";;"not listed";"Smooth bark (except at base), colourful flaky patches of grey, cream, yellow, blue; slender tree; leaf pendulous, sweet tasting; Flowers cream with long anthers; buds ridged with round pointed caps; fruit ovoid, ribbed, valves deeply enclosed";"Copes well with acid sandy soils"
181;"Eucalyptus conferruminata ";"MYRT";"Spider Gum";"Eucalyptus conferruminata ";"Invasive";;"not listed";"Bark rough, greyish, peeling off; leaf with oblique veins; flowers yellowish green, budcaps long, horn-like; fruit in stalkless clusters of 7-15 on stout, strap-like stalks, valves coarse, prominent; (previous E. lehmannii was an incorrect identification)";"Flats and lower slopes; local; planted as hedge or windbreak"
354;"Eucalyptus diversicolor ";"MYRT";"Karri";"Eucalyptus diversicolor ";"Invasive";;"not listed";"Bark smooth, yellowish white with brown blotches; leaf with transverse secondary veins; fruit in stalked clusters 3-6; fruits globose, valves enclosed or slightly protruding";"Not recorded in 1950, planted, coming up in large numbers in stands at Tokai"
74;"Eucalyptus globulus";"MYRT";"Blue Gum";"Eucalyptus globulus";"Invasive";;"not listed";"Bark with brown, sub-fibrous bark below, smooth, blotchy, blue- brown-green above; leaf stalked, pendulous; flower buds with warty, abruptly pointed caps in clusters of 3; fruit stalkless, ribbed, warty, valves strong, deltoid, at rim level";"Not recorded in 1950"
355;"Eucalyptus gomphocephala ";"MYRT";"Australian White-gum";"Eucalyptus gomphocephala ";"Invasive";;"not listed";"Bark grey, fibrous; leaves with oblique lateral veins, stalked, pendulous; fruit in stalkless clusters of 3-7 on broad strap stalk, budcap clublike, bell-shaped, valves level with rim";"Not recorded in 1950; planted, not seriously spreading"
356;"Eucalyptus grandis ";"MYRT";"Saligna Gum";"Eucalyptus grandis ";"Invasive";;"not listed";"Bark peels in long thin strips, smooth grey-green; leaf stalked;  Fruit in stalked clusters of 3-10; pear-shaped 7-10mm, valves protruding, deltoid";"Not recorded in 1950; planted, not seriously spreading"
116;"Eucalyptus regnans";"MYRT";"Mountain Ash Gum";"Eucalyptus regnans";"Invasive";;"not listed";"Very tall tree; bark smooth, grey, rough for lower 10m; leaf falcate, long apex, green/grey-green, stalk reddish; flowers in paired clusters of 9-15, white, opurculum rounded; fruit on pedicels, cup-shaped; disc below rim, valves level or enclosed";"From SAPIA 2010; killed by fire"
1;"Eucalyptus rudis subsp. rudis";"MYRT";"Western Flood Gum";"Eucalyptus rudis subsp. rudis";"Invasive";;"not listed";"Bark rough, fibrous, grey, becoming tessellated; leaves stalked, pendulous intramarginal vein remote; fruit in stalked clusters of 7, 9 or 11, hemispherical, rim level, valves 4-5 exserted; juv stems square";"Not recorded in 1950, serious invader Tokai, wet areas"
119;"Eucalyptus sideroxylon";"MYRT";"Black Ironbark";"Eucalyptus sideroxylon";"Invasive";;"not listed";"Bark black, hard, ridged, deeply furrowed, persisting on young growth; leaf pendulous, dark grey-green, lance-shaped; Flowers ; buds pendulous with conical/beaked lips; fruit round, pendulous, valves deeplyenclosed, with semi-persistent staminal ring";"Common in woodlots"
609;"Euphorbia esula";"EUPH";"Leafy Spurge";"Euphorbia esula";"Invasive";;"not listed";"Annual, erect;  leaves hairless, lanceolate, smooth margin, olive-grey; flowerhead umbel, leafy, bracts yellow/green, glands green";"New record, 2011 but obviously present for quite some time"
357;"Euphorbia helioscopia ";"EUPH";"Umbrella Milkweed";"Euphorbia helioscopia ";"Invasive";;"not listed";"Annual, erect; taproot long; leaves hairless, obovate, toothed; flowerhead umbel, leafy, bracts yellow, glands green ";"Waste areas and cultivated land; common"
358;"Euphorbia peplus ";"EUPH";"Stinging Milkweed";"Euphorbia peplus ";"Invasive";;"not listed";"Annual, erect; taproot long; leaves obovate, entire, hairless; flowerhead branched leafy, flowers green, gland horned";"Plantations, waste places and cultivated land; frequent"
39;"Euphorbia prostrata";"EUPH";"Creeping Sandmat";"Euphorbia prostrata";"Invasive";;"not listed";"Annual, mat forming, stems often purple tinged, hairy; ; stipule interpetiolate; fruit hairy, lobed";"Not recorded in 1950; garden paths and cultivated land; was Chamaesyce"
360;"Euphorbia terracina ";"EUPH";"False Caper";"Euphorbia terracina ";"Invasive";;"not listed";"Annual-biennial, erect, almost hairless, branched mainly below; leaves hairless, 20-40mm long on main stem";"Waste areas on sandy flats and lower slopes; occasional"
361;"Fagopyrum esculentum ";"POLY";"Buckwheat";"Fagopyrum esculentum ";"Invasive";;"not listed";"Annual, hairless, reddening, soft, nodes not swollen; leaf arrow-shaped, stalkless higher on plant; stipule a sheath, hairless; flowers pink or white, in branched clusters on long stalks from leaf base, stamens with yellow glands at base";"Disturbed and cultivate areas; occasional"
