"species"
"Aspalathus spicata"
"Aspalathus subtingens"
"Aspalathus ternata"
"Aspalathus tylodes"
"Aspalathus uniflora"
"Aspalathus varians"
"Aspalathus willdenowiana"
"Asparagus aethiopicus"
"Asparagus africanus"
"Asparagus asparagoides"
"Asparagus declinatus"
"Asparagus kraussianus"
"Asparagus lignosus"
"Asparagus ovatus"
"Asparagus rubicundus"
"Asparagus scandens"
"Asparagus stipulaceus"
"Asparagus undulatus"
"Aspidoglossum heterophyllum"
"Asplenium aethiopicum"
"Asplenium cordatum"
"Asplenium lunulatum"
"Asplenium monanthes"
"Asplenium rutifolium"
"Astephanus triflorus"
"Athanasia capitata"
"Athanasia dentata"
"Athanasia pubescens"
"Athanasia trifurcata"
"Athrixia capensis"
"Atrichantha gemmifera"
"Audouinia capitata"
"Aulax cancellata"
"Aulax pallasia"
"Aulax umbellata"
"Austrocylindropuntia subulata"
"Avena barbata"
"Avena byzantina"
"Avena fatua"
"Avena sativa"
"Avena sterilis"
"Avonia papyracea"
"Avonia quinaria"
"Azolla filiculoides"
"Babiana ambigua"
"Babiana angustifolia"
"Babiana blanda"
"Babiana fragrans"
"Babiana leipoldtii"
"Babiana melanops"
"Babiana nervosa"
"Babiana odorata"
"Babiana regia"
"Babiana secunda"
"Babiana striata"
"Babiana tubiflora"
"Babiana tubulosa"
"Babiana villosa"
"Babiana villosula"
"Baeometra uniflora"
"Bambusa vulgaris"
"Baphia racemosa"
"Barbarea vulgaris"
"Barleria repens"
"Barleria rigida"
"Bartholina burmanniana"
"Bartholina etheliae"
"Bauhinia tomentosa"
"Bauhinia variegata"
"Bellardia trixago"
"Berkheya armata"
"Berkheya barbata"
"Berkheya herbacea"
"Berkheya rigida"
"Berula erecta"
"Berzelia abrotanoides"
"Berzelia cordifolia"
"Berzelia galpinii"
"Berzelia intermedia"
"Berzelia lanuginosa"
"Berzelia squarrosa"
"Berzelia stokoei"
"Billardiera heterophylla"
"Blechnum australe"
"Bobartia filiformis"
"Bobartia indica"
